Timestamp,black_x,black_y,yellow_x,yellow_y
1727469085.176943,-8.81,-9.34,10.47,-9.95
1727469085.327565,-8.84,-9.34,10.48,-9.97
1727469085.385663,-8.84,-9.34,10.47,-9.97
1727469085.432039,-8.82,-9.32,10.48,-9.95
1727469085.4600909,-8.82,-9.32,10.48,-9.95
1727469085.523764,-8.82,-9.32,10.45,-9.95
1727469085.559808,-8.82,-9.32,10.45,-9.97
1727469085.5880861,-8.82,-9.32,10.47,-9.94
1727469085.6646981,-8.82,-9.32,10.45,-9.95
1727469085.69387,-8.81,-9.32,10.47,-9.95
1727469085.730109,-8.82,-9.32,10.47,-9.95
1727469085.760125,-8.82,-9.32,10.47,-9.95
1727469085.783384,-8.82,-9.32,10.48,-9.95
1727469085.831126,-8.82,-9.32,10.45,-9.95
1727469085.888183,-8.82,-9.32,10.47,-9.95
1727469085.928374,-8.82,-9.32,10.48,-9.94
1727469085.9575071,-8.81,-9.32,10.47,-9.95
1727469085.9870772,-8.82,-9.32,10.45,-9.94
1727469086.021127,-8.81,-9.32,10.47,-9.95
1727469086.0562491,-8.82,-9.32,10.47,-9.95
1727469086.0862348,-8.82,-9.32,10.47,-9.95
1727469086.120728,-8.81,-9.32,10.47,-9.94
1727469086.155819,-8.82,-9.32,10.47,-9.95
1727469086.17975,-8.82,-9.32,10.48,-9.94
1727469086.226387,-8.82,-9.32,10.47,-9.95
1727469086.255904,-8.81,-9.32,10.47,-9.95
1727469086.285559,-8.82,-9.32,10.47,-9.95
1727469086.3200371,-8.82,-9.32,10.47,-9.94
1727469086.383533,-8.82,-9.32,10.48,-9.95
1727469086.418666,-8.81,-9.32,10.47,-9.95
1727469086.44721,-8.82,-9.32,10.45,-9.95
1727469086.487843,-8.81,-9.32,10.48,-9.95
1727469086.518168,-8.82,-9.32,10.45,-9.95
1727469086.547531,-8.82,-9.32,10.47,-9.95
1727469086.583186,-8.82,-9.32,10.47,-9.94
1727469086.611728,-8.82,-9.32,10.47,-9.95
1727469086.648437,-8.82,-9.32,10.47,-9.95
1727469086.682889,-8.81,-9.32,10.47,-9.95
1727469086.7167559,-8.82,-9.32,10.47,-9.95
1727469086.740265,-8.82,-9.32,10.48,-9.95
1727469086.7803679,-8.82,-9.32,10.48,-9.95
1727469086.810478,-8.82,-9.32,10.47,-9.95
1727469086.851203,-8.82,-9.32,10.48,-9.95
1727469086.880437,-8.82,-9.32,10.48,-9.95
1727469086.915532,-8.82,-9.32,10.45,-9.95
1727469086.938705,-8.81,-9.32,10.47,-9.95
1727469086.985491,-8.82,-9.32,10.45,-9.95
1727469087.014733,-8.81,-9.32,10.47,-9.95
1727469087.038583,-8.82,-9.32,10.48,-9.95
1727469087.073366,-8.82,-9.32,10.48,-9.95
1727469087.1081622,-8.82,-9.32,10.45,-9.94
1727469087.148587,-8.82,-9.32,10.47,-9.95
1727469087.177377,-8.82,-9.32,10.47,-9.97
1727469087.20771,-8.82,-9.32,10.48,-9.95
1727469087.242316,-8.82,-9.32,10.45,-9.95
1727469087.2712882,-8.82,-9.32,10.47,-9.94
1727469087.306747,-8.82,-9.32,10.47,-9.95
1727469087.346664,-8.81,-9.32,10.45,-9.94
1727469087.370451,-8.82,-9.32,10.47,-9.95
1727469087.4057732,-8.82,-9.32,10.47,-9.94
1727469087.446943,-8.82,-9.32,10.47,-9.95
1727469087.471787,-8.82,-9.32,10.45,-9.94
1727469087.5121589,-8.82,-9.32,10.47,-9.95
1727469087.536345,-8.82,-9.32,10.48,-9.95
1727469087.5771258,-8.82,-9.32,10.48,-9.95
1727469087.601771,-8.82,-9.32,10.48,-9.95
1727469087.6424131,-8.81,-9.32,10.47,-9.95
1727469087.666294,-8.82,-9.32,10.47,-9.95
1727469087.7070742,-8.82,-9.32,10.47,-9.95
1727469087.736958,-8.81,-9.32,10.47,-9.95
1727469087.77218,-8.82,-9.32,10.47,-9.95
1727469087.797359,-8.82,-9.32,10.47,-9.95
1727469087.843633,-8.82,-9.32,10.47,-9.95
1727469087.908519,-8.81,-9.32,10.47,-9.95
1727469087.9323509,-8.81,-9.32,10.47,-9.95
1727469087.965589,-8.82,-9.32,10.47,-9.95
1727469088.001112,-8.82,-9.32,10.48,-9.95
1727469088.035827,-8.82,-9.32,10.48,-9.95
1727469088.066283,-8.81,-9.32,10.47,-9.94
1727469088.101381,-8.82,-9.32,10.47,-9.95
1727469088.13609,-8.82,-9.32,10.47,-9.95
1727469088.1652968,-8.82,-9.32,10.48,-9.95
1727469088.200505,-8.82,-9.32,10.47,-9.95
1727469088.2357912,-8.82,-9.32,10.45,-9.95
1727469088.259979,-8.82,-9.32,10.48,-9.95
1727469088.300535,-8.82,-9.32,10.48,-9.95
1727469088.324736,-8.82,-9.32,10.45,-9.95
1727469088.366067,-8.81,-9.32,10.47,-9.95
1727469088.3956249,-8.81,-9.32,10.47,-9.95
1727469088.430899,-8.82,-9.32,10.47,-9.95
1727469088.460924,-8.82,-9.32,10.47,-9.95
1727469088.4959402,-8.82,-9.32,10.48,-9.94
1727469088.5304,-8.82,-9.32,10.47,-9.95
