h_pos,v_pos
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.67
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
2.46,-0.68
2.47,-0.68
2.47,-0.68
